Postcode,lat,Lon
1011AB,52.37866950,4.90658066
1011AC,52.37764419,4.90943399
1011AD,52.37695937,4.90515311
1011AE,52.37570324,4.91077382
1011AG,52.37594735,4.90301674
1011AH,52.37575952,4.90295928
1011AJ,52.37556132,4.90287362
1011AK,52.37464881,4.90388188
1011AL,52.36883485,4.90202192
1011AM,52.37422090,4.90492933
1011AN,52.37407733,4.90513748
1011AP,52.37394421,4.90541583
1011AR,52.37380148,4.90583134
1011AS,52.37349818,4.90620088
1011AT,52.37335534,4.90656309
1011AV,52.37315911,4.90688024
1011AW,52.37300746,4.90711921
1011AX,52.37413037,4.90457772
1011AZ,52.37349818,4.90603838
1011BA,52.37355996,4.90575870
1011BB,52.37340610,4.90549605
1011BC,52.37288253,4.90714640
1011BD,52.37271873,4.90711588
1011BG,52.37502290,4.90417047
1011BH,52.37374260,4.90468647
1011BJ,52.37349257,4.90505543
1011BK,52.37327861,4.90523042
1011BL,52.37313589,4.90547029
1011BM,52.37304667,4.90561830
1011BN,52.37293055,4.90585451
1011BP,52.37281461,4.90610570
1011BR,52.37267183,4.90634210
1011BS,52.37528253,4.90326692
1011BT,52.37477852,4.90283645
1011BV,52.37439111,4.90284873
1011BW,52.37401681,4.90308052
1011BX,52.37345736,4.90334705
1011BZ,52.37335024,4.90366427
1011CA,52.37316620,4.90417884
1011CB,52.37286527,4.90453167
1011CC,52.37266445,4.90483153
1011CD,52.37251695,4.90516695
1011CE,52.37236713,4.90539771
1011CH,52.37398463,4.90243667
1011CJ,52.37376218,4.90288023
1011CK,52.37392319,4.90209982
1011CL,52.37377002,4.90277823
1011CM,52.37387890,4.90385790
1011CN,52.37358009,4.90351117
1011CP,52.37355114,4.90270303
1011CR,52.37339907,4.90235819
1011CS,52.37297093,4.90275720
1011CT,52.37273026,4.90302328
1011CV,52.37255147,4.90339243
1011CW,52.37229270,4.90379134
1011CX,52.37213219,4.90410165
1011CZ,52.37196257,4.90445631
1011DB,52.37342192,4.90276453
1011DC,52.37155433,4.90102284
1011DD,52.37653120,4.90706714
1011DE,52.37593553,4.90971990
1011DG,52.37636458,4.90799481
1011DH,52.37629425,4.90847523
1011DJ,52.37665129,4.90608012
1011DK,52.37692542,4.90994080
